window,feature,n_pairs,sweat_mean,control_mean,mean_diff_sweat_minus_control,median_diff_sweat_minus_control,paired_effect_dz,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p
late_2_5s,au12_lip_corner_pull_proxy_z_peak_abs,7,7.683454556907341,11.803210119908197,-4.119755563000856,-4.024024909591548,-0.40222341286359276,-1.0641831219247246,0.3281867944452632,8.0,0.375
late_2_5s,au12_lip_corner_pull_proxy_delta_auc_abs,7,0.07271259556145371,0.08402124659818336,-0.011308651036729645,-0.016192435705728203,-0.1673855088425091,-0.4428604294732821,0.6733862890854095,11.0,0.6875
late_2_5s,au09_nose_wrinkle_proxy_delta_mean,7,0.019015618176144642,0.0036472804149920114,0.015368337761152626,0.0072956359410896,0.3297526770330795,0.8724435775873284,0.41650931814143083,9.0,0.46875
late_2_5s,au09_nose_wrinkle_proxy_z_peak_abs,7,9.920021055392368,5.482494007725158,4.437527047667211,0.3596282303865581,0.35669507116010923,0.9437264521721365,0.38174176305821295,9.0,0.46875
late_2_5s,au09_nose_wrinkle_proxy_delta_auc_abs,7,0.07721229980699214,0.08054766316326294,-0.0033353633562708033,-0.007351580662214398,-0.03407812435640037,-0.09016224219456843,0.9310928035900671,13.0,0.9375
late_2_5s,au10_upper_lip_raise_proxy_delta_mean,7,0.01391417834469537,-0.0021974178876018277,0.016111596232297205,0.032382759613737405,0.3584894058112565,0.9484738154278979,0.3795081169778205,9.0,0.46875
late_2_5s,au10_upper_lip_raise_proxy_z_peak_abs,7,8.439160779386675,7.626475882158705,0.8126848972279702,-4.888323107650823,0.07488331945810582,0.19812264063315202,0.8494913156336075,13.0,0.9375
late_2_5s,au10_upper_lip_raise_proxy_delta_auc_abs,7,0.08343435489102892,0.11840736660143093,-0.034973011710402006,-0.049029097122929105,-0.5292784994381303,-1.4003392838067326,0.21094486195851767,6.0,0.21875
late_2_5s,au24_lip_press_proxy_delta_mean,7,-0.0013392426307209829,-0.002584083164118428,0.001244840533397446,-4.2005676471500034e-05,0.09588500420117083,0.2536878755766815,0.8082060497923216,14.0,1.0
late_2_5s,au24_lip_press_proxy_z_peak_abs,7,8.011575485498538,9.490022530986966,-1.47844704548843,-0.3952320460485699,-0.1421555937953124,-0.37610834865911313,0.719776347982168,13.0,0.9375
late_2_5s,au24_lip_press_proxy_delta_auc_abs,7,0.009697058255467345,0.0405360599995938,-0.030839001744126456,-0.0010118467322958995,-0.37982315519894266,-1.0049176108402922,0.3537284235317876,11.0,0.6875
late_2_5s,au45_blink_proxy_delta_mean,7,-0.08724044882230615,-0.08344540731969556,-0.0037950415026105594,0.010345931225535093,-0.021522288191534417,-0.05694262219986213,0.9564398457168612,14.0,1.0
late_2_5s,au45_blink_proxy_z_peak_abs,7,42.52129003363621,54.37402728033734,-11.852737246701134,-12.95897880685657,-0.11086325106656973,-0.2933165918582597,0.7791609349605124,12.0,0.8125
late_2_5s,au45_blink_proxy_delta_auc_abs,7,0.5552421926391294,0.5444554806060796,0.010786712033049714,-0.03445182598638863,0.03371542076636545,0.08920261869570571,0.9318239263115149,9.0,0.46875
late_2_5s,cheek_composite_proxy_delta_mean,7,0.007460132999270113,-0.0007289139232071716,0.008189046922477286,0.0092162677180741,0.2613947924997251,0.6915856149616042,0.515052420253668,12.0,0.8125
late_2_5s,cheek_composite_proxy_z_peak_abs,7,7.215773313211238,15.670788196329678,-8.455014883118443,-2.2039699460770557,-0.3136820494911328,-0.8299246936985925,0.43834780726934475,12.0,0.8125
late_2_5s,cheek_composite_proxy_delta_auc_abs,7,0.04908984719510708,0.0855957678932965,-0.03650592069818943,-0.029795841544985102,-1.4352071499589094,-3.7972011986530587,0.008997212667358494,1.0,0.03125
late_2_5s,mouth_open_proxy_delta_mean,7,0.0013392426307209829,0.002584083164118428,-0.001244840533397446,4.2005676471500034e-05,-0.09588500420117083,-0.2536878755766815,0.8082060497923216,14.0,1.0
late_2_5s,mouth_open_proxy_z_peak_abs,7,8.011575485498538,9.490022530986966,-1.47844704548843,-0.3952320460485699,-0.1421555937953124,-0.37610834865911313,0.719776347982168,13.0,0.9375
